"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1659","EML6","ENSG00000214595","1659.1.1","Eml6","ENSMUSG00000044072","echinoderm microtubule associated protein like 6 [Source:MGI Symbol;Acc:MGI:2442895]"
"1660","KLHL21","ENSG00000162413","1660.1.1","Klhl21","ENSMUSG00000073700","kelch-like 21 [Source:MGI Symbol;Acc:MGI:1919288]"
"1661","DMAC2L","ENSG00000125375","1661.1.1","Dmac2l","ENSMUSG00000054894","distal membrane arm assembly component 2 like [Source:MGI Symbol;Acc:MGI:1915305]"
"1662","PLPBP","ENSG00000147471","1662.1.1","Plpbp","ENSMUSG00000031485","pyridoxal phosphate binding protein [Source:MGI Symbol;Acc:MGI:1891207]"
"1663","SERINC3","ENSG00000132824","1663.1.1","Serinc3","ENSMUSG00000017707","serine incorporator 3 [Source:MGI Symbol;Acc:MGI:1349457]"
"1664","KPNA4","ENSG00000186432","1664.1.1","Kpna4","ENSMUSG00000027782","karyopherin subunit alpha 4 [Source:MGI Symbol;Acc:MGI:1100848]"
"1665","RASSF5","ENSG00000266094","1665.1.1","Rassf5","ENSMUSG00000026430","Ras association (RalGDS/AF-6) domain family member 5 [Source:MGI Symbol;Acc:MGI:1926375]"
"1666","GPR155","ENSG00000163328","1666.1.1","Gpr155","ENSMUSG00000041762","G protein-coupled receptor 155 [Source:MGI Symbol;Acc:MGI:1915776]"
"1667","XPA","ENSG00000136936","1667.1.1","Xpa","ENSMUSG00000028329","xeroderma pigmentosum, complementation group A [Source:MGI Symbol;Acc:MGI:99135]"
"1668","RAF1","ENSG00000132155","1668.1.1","Raf1","ENSMUSG00000000441","v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]"
"1669","GSN","ENSG00000148180","1669.1.1","Gsn","ENSMUSG00000026879","gelsolin [Source:MGI Symbol;Acc:MGI:95851]"
"1670","KLF16","ENSG00000129911","1670.1.1","Klf16","ENSMUSG00000035397","Kruppel-like transcription factor 16 [Source:MGI Symbol;Acc:MGI:2153049]"
"1671","PHLDA1","ENSG00000139289","1671.1.1","Phlda1","ENSMUSG00000020205","pleckstrin homology like domain, family A, member 1 [Source:MGI Symbol;Acc:MGI:1096880]"
"1672","RAB11A","ENSG00000103769","1672.1.1","Rab11a","ENSMUSG00000004771","RAB11A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1858202]"
"1673","AKNA","ENSG00000106948","1673.1.1","Akna","ENSMUSG00000039158","AT-hook transcription factor [Source:MGI Symbol;Acc:MGI:2140340]"
"1674","CYLD","ENSG00000083799","1674.1.1","Cyld","ENSMUSG00000036712","CYLD lysine 63 deubiquitinase [Source:MGI Symbol;Acc:MGI:1921506]"
"1675","ANXA7","ENSG00000138279","1675.1.1","Anxa7","ENSMUSG00000021814","annexin A7 [Source:MGI Symbol;Acc:MGI:88031]"
"1676","APAF1","ENSG00000120868","1676.1.1","Apaf1","ENSMUSG00000019979","apoptotic peptidase activating factor 1 [Source:MGI Symbol;Acc:MGI:1306796]"
"1677","HINT3","ENSG00000111911","1677.1.1","Hint3","ENSMUSG00000019791","histidine triad nucleotide binding protein 3 [Source:MGI Symbol;Acc:MGI:1914097]"
"1678","SLC25A38","ENSG00000144659","1678.1.1","Slc25a38","ENSMUSG00000032519","solute carrier family 25, member 38 [Source:MGI Symbol;Acc:MGI:2384782]"
"1679","RBM47","ENSG00000163694","1679.1.1","Rbm47","ENSMUSG00000070780","RNA binding motif protein 47 [Source:MGI Symbol;Acc:MGI:2384294]"
"1680","SSR3","ENSG00000114850","1680.1.1","Ssr3","ENSMUSG00000027828","signal sequence receptor, gamma [Source:MGI Symbol;Acc:MGI:1914687]"
"1681","PIK3CD","ENSG00000171608","1681.1.1","Pik3cd","ENSMUSG00000039936","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:MGI Symbol;Acc:MGI:1098211]"
"1682","EFR3A","ENSG00000132294","1682.1.1","Efr3a","ENSMUSG00000015002","EFR3 homolog A [Source:MGI Symbol;Acc:MGI:1923990]"
"1683","CEP164","ENSG00000110274","1683.1.1","Cep164","ENSMUSG00000043987","centrosomal protein 164 [Source:MGI Symbol;Acc:MGI:2384878]"
"1684","C17ORF49","ENSG00000258315","1684.1.1","0610010K14Rik","ENSMUSG00000020831","RIKEN cDNA 0610010K14 gene [Source:MGI Symbol;Acc:MGI:1915609]"
"1685","TRNAU1AP","ENSG00000180098","1685.1.1","Trnau1ap","ENSMUSG00000028898","tRNA selenocysteine 1 associated protein 1 [Source:MGI Symbol;Acc:MGI:1919037]"
"1686","MVB12A","ENSG00000141971","1686.1.1","Mvb12a","ENSMUSG00000031813","multivesicular body subunit 12A [Source:MGI Symbol;Acc:MGI:1920961]"
"1687","GPR157","ENSG00000180758","1687.1.1","Gpr157","ENSMUSG00000047875","G protein-coupled receptor 157 [Source:MGI Symbol;Acc:MGI:2442046]"
"1688","NT5DC1","ENSG00000178425","1688.1.1","Nt5dc1","ENSMUSG00000039480","5'-nucleotidase domain containing 1 [Source:MGI Symbol;Acc:MGI:2442446]"
"1689","RALGPS2","ENSG00000116191","1689.1.1","Ralgps2","ENSMUSG00000026594","Ral GEF with PH domain and SH3 binding motif 2 [Source:MGI Symbol;Acc:MGI:1925505]"
"1690","FMNL3","ENSG00000161791","1690.1.1","Fmnl3","ENSMUSG00000023008","formin-like 3 [Source:MGI Symbol;Acc:MGI:109569]"
"1691","H6PD","ENSG00000049239","1691.1.1","H6pd","ENSMUSG00000028980","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:MGI Symbol;Acc:MGI:2140356]"
"1692","UGP2","ENSG00000169764","1692.1.1","Ugp2","ENSMUSG00000001891","UDP-glucose pyrophosphorylase 2 [Source:MGI Symbol;Acc:MGI:2183447]"
"1693","CUTC","ENSG00000119929","1693.1.1","Cutc","ENSMUSG00000025193","cutC copper transporter [Source:MGI Symbol;Acc:MGI:1913638]"
"1694","RAB21","ENSG00000080371","1694.1.1","Rab21","ENSMUSG00000020132","RAB21, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:894308]"
"1695","MYL12B","ENSG00000118680","1695.1.1","Myl12b","ENSMUSG00000034868","myosin, light chain 12B, regulatory [Source:MGI Symbol;Acc:MGI:107494]"
"1696","POLG2","ENSG00000256525","1696.1.1","Polg2","ENSMUSG00000020718","polymerase (DNA directed), gamma 2, accessory subunit [Source:MGI Symbol;Acc:MGI:1354947]"
"1697","PRKCD","ENSG00000163932","1697.1.1","Prkcd","ENSMUSG00000021948","protein kinase C, delta [Source:MGI Symbol;Acc:MGI:97598]"
"1698","RIT1","ENSG00000143622","1698.1.1","Rit1","ENSMUSG00000028057","Ras-like without CAAX 1 [Source:MGI Symbol;Acc:MGI:108053]"
"1699","HLA-A","ENSG00000206503","1699.1.1","H2-M1","ENSMUSG00000037334","histocompatibility 2, M region locus 1 [Source:MGI Symbol;Acc:MGI:95913]"
"1699","HLA-A","ENSG00000206503","1699.1.2","H2-M11","ENSMUSG00000037537","histocompatibility 2, M region locus 11 [Source:MGI Symbol;Acc:MGI:2676637]"
"1699","HLA-A","ENSG00000206503","1699.1.3","H2-T24","ENSMUSG00000053835","histocompatibility 2, T region locus 24 [Source:MGI Symbol;Acc:MGI:95958]"
"1699","HLA-A","ENSG00000206503","1699.1.4","H2-M9","ENSMUSG00000067201","histocompatibility 2, M region locus 9 [Source:MGI Symbol;Acc:MGI:1276570]"
"1700","SRD5A3","ENSG00000128039","1700.1.1","Srd5a3","ENSMUSG00000029233","steroid 5 alpha-reductase 3 [Source:MGI Symbol;Acc:MGI:1930252]"
"1701","SNRPC","ENSG00000124562","1701.1.1","Snrpc","ENSMUSG00000024217","U1 small nuclear ribonucleoprotein C [Source:MGI Symbol;Acc:MGI:109489]"
"1702","TGFBRAP1","ENSG00000135966","1702.1.1","Tgfbrap1","ENSMUSG00000070939","transforming growth factor, beta receptor associated protein 1 [Source:MGI Symbol;Acc:MGI:2447427]"
"1703","RAC1","ENSG00000129538","1703.1.1","Rnase1","ENSMUSG00000035896","ribonuclease, RNase A family, 1 (pancreatic) [Source:MGI Symbol;Acc:MGI:97919]"
"1703","RAC1","ENSG00000136238","1703.2.1","Rac1","ENSMUSG00000001847","Rac family small GTPase 1 [Source:MGI Symbol;Acc:MGI:97845]"
"1704","DSTN","ENSG00000125868","1704.1.1","Dstn","ENSMUSG00000015932","destrin [Source:MGI Symbol;Acc:MGI:1929270]"
"1705","STAB1","ENSG00000010327","1705.1.1","Stab1","ENSMUSG00000042286","stabilin 1 [Source:MGI Symbol;Acc:MGI:2178742]"
"1706","DEPDC1B","ENSG00000035499","1706.1.1","Depdc1b","ENSMUSG00000021697","DEP domain containing 1B [Source:MGI Symbol;Acc:MGI:2145425]"
"1707","TCERG1","ENSG00000113649","1707.1.1","Tcerg1","ENSMUSG00000024498","transcription elongation regulator 1 (CA150) [Source:MGI Symbol;Acc:MGI:1926421]"
"1708","NRM","ENSG00000137404","1708.1.1","Nrm","ENSMUSG00000059791","nurim (nuclear envelope membrane protein) [Source:MGI Symbol;Acc:MGI:2146855]"
"1709","TREM2","ENSG00000095970","1709.1.1","Trem2","ENSMUSG00000023992","triggering receptor expressed on myeloid cells 2 [Source:MGI Symbol;Acc:MGI:1913150]"
"1710","CLEC12A","ENSG00000172322","1710.1.1","Clec12a","ENSMUSG00000053063","C-type lectin domain family 12, member a [Source:MGI Symbol;Acc:MGI:3040968]"
"1711","TMEM97","ENSG00000109084","1711.1.1","Tmem97","ENSMUSG00000037278","transmembrane protein 97 [Source:MGI Symbol;Acc:MGI:1916321]"
"1712","HYAL2","ENSG00000068001","1712.1.1","Hyal2","ENSMUSG00000010047","hyaluronoglucosaminidase 2 [Source:MGI Symbol;Acc:MGI:1196334]"
"1713","AFG1L","ENSG00000135537","1713.1.1","Afg1l","ENSMUSG00000038302","AFG1 like ATPase [Source:MGI Symbol;Acc:MGI:2148801]"
"1714","NPTN","ENSG00000156642","1714.1.1","Nptn","ENSMUSG00000032336","neuroplastin [Source:MGI Symbol;Acc:MGI:108077]"
"1715","ADIPOR2","ENSG00000006831","1715.1.1","Adipor2","ENSMUSG00000030168","adiponectin receptor 2 [Source:MGI Symbol;Acc:MGI:93830]"
"1716","VPS13B","ENSG00000132549","1716.1.1","Vps13b","ENSMUSG00000037646","vacuolar protein sorting 13B [Source:MGI Symbol;Acc:MGI:1916380]"
"1717","SRR","ENSG00000167720","1717.1.1","Srr","ENSMUSG00000001323","serine racemase [Source:MGI Symbol;Acc:MGI:1351636]"
"1718","IER2","ENSG00000160888","1718.1.1","Ier2","ENSMUSG00000053560","immediate early response 2 [Source:MGI Symbol;Acc:MGI:104815]"
"1719","GABPB2","ENSG00000143458","1719.1.1","Gabpb2","ENSMUSG00000038766","GA repeat binding protein, beta 2 [Source:MGI Symbol;Acc:MGI:95612]"
"1720","CMPK1","ENSG00000162368","1720.1.1","Cmpk1","ENSMUSG00000028719","cytidine/uridine monophosphate kinase 1 [Source:MGI Symbol;Acc:MGI:1913838]"
"1721","MDM2","ENSG00000135679","1721.1.1","Mdm2","ENSMUSG00000020184","transformed mouse 3T3 cell double minute 2 [Source:MGI Symbol;Acc:MGI:96952]"
"1722","GDI2","ENSG00000057608","1722.1.1","Gdi2","ENSMUSG00000021218","GDP dissociation inhibitor 2 [Source:MGI Symbol;Acc:MGI:99845]"
"1723","ARHGAP10","ENSG00000071205","1723.1.1","Arhgap10","ENSMUSG00000037148","Rho GTPase activating protein 10 [Source:MGI Symbol;Acc:MGI:1925764]"
"1724","SOAT1","ENSG00000057252","1724.1.1","Soat1","ENSMUSG00000026600","sterol O-acyltransferase 1 [Source:MGI Symbol;Acc:MGI:104665]"
"1725","NUAK2","ENSG00000163545","1725.1.1","Nuak2","ENSMUSG00000009772","NUAK family, SNF1-like kinase, 2 [Source:MGI Symbol;Acc:MGI:1921387]"
"1726","ARL11","ENSG00000152213","1726.1.1","Arl11","ENSMUSG00000043157","ADP-ribosylation factor-like 11 [Source:MGI Symbol;Acc:MGI:2444054]"
"1727","INPP4A","ENSG00000040933","1727.1.1","Inpp4a","ENSMUSG00000026113","inositol polyphosphate-4-phosphatase, type I [Source:MGI Symbol;Acc:MGI:1931123]"
"1728","ARID5A","ENSG00000196843","1728.1.1","Arid5a","ENSMUSG00000037447","AT-rich interaction domain 5A [Source:MGI Symbol;Acc:MGI:2443039]"
"1729","PLEC","ENSG00000178209","1729.1.1","Plec","ENSMUSG00000022565","plectin [Source:MGI Symbol;Acc:MGI:1277961]"
"1730","HERC4","ENSG00000148634","1730.1.1","Herc4","ENSMUSG00000020064","hect domain and RLD 4 [Source:MGI Symbol;Acc:MGI:1914595]"
"1731","TMPO","ENSG00000120802","1731.1.1","Tmpo","ENSMUSG00000019961","thymopoietin [Source:MGI Symbol;Acc:MGI:106920]"
"1732","MFHAS1","ENSG00000147324","1732.1.1","Mfhas1","ENSMUSG00000070056","malignant fibrous histiocytoma amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1098644]"
"1733","SNX3","ENSG00000112335","1733.1.1","Snx3","ENSMUSG00000019804","sorting nexin 3 [Source:MGI Symbol;Acc:MGI:1860188]"
"1734","BCL7B","ENSG00000106635","1734.1.1","Bcl7b","ENSMUSG00000029681","B cell CLL/lymphoma 7B [Source:MGI Symbol;Acc:MGI:1332238]"
"1735","YEATS4","ENSG00000127337","1735.1.1","Yeats4","ENSMUSG00000020171","YEATS domain containing 4 [Source:MGI Symbol;Acc:MGI:1927224]"
"1736","KIF5B","ENSG00000170759","1736.1.1","Kif5b","ENSMUSG00000006740","kinesin family member 5B [Source:MGI Symbol;Acc:MGI:1098268]"
"1737","ZFHX3","ENSG00000140836","1737.1.1","Zfhx3","ENSMUSG00000038872","zinc finger homeobox 3 [Source:MGI Symbol;Acc:MGI:99948]"
"1738","GCHFR","ENSG00000137880","1738.1.1","Gchfr","ENSMUSG00000046814","GTP cyclohydrolase I feedback regulator [Source:MGI Symbol;Acc:MGI:2443977]"
"1739","ABTB2","ENSG00000166016","1739.1.1","Abtb2","ENSMUSG00000032724","ankyrin repeat and BTB domain containing 2 [Source:MGI Symbol;Acc:MGI:2139365]"
"1740","LMBR1L","ENSG00000139636","1740.1.1","Lmbr1l","ENSMUSG00000022999","limb region 1 like [Source:MGI Symbol;Acc:MGI:1289247]"
"1741","DAB2","ENSG00000153071","1741.1.1","Dab2","ENSMUSG00000022150","disabled 2, mitogen-responsive phosphoprotein [Source:MGI Symbol;Acc:MGI:109175]"
"1742","MPV17L2","ENSG00000254858","1742.1.1","Mpv17l2","ENSMUSG00000035559","MPV17 mitochondrial membrane protein-like 2 [Source:MGI Symbol;Acc:MGI:2681846]"
"1743","PRKCE","ENSG00000171132","1743.1.1","Prkce","ENSMUSG00000045038","protein kinase C, epsilon [Source:MGI Symbol;Acc:MGI:97599]"
"1744","C19ORF47","ENSG00000160392","1744.1.1","2310022A10Rik","ENSMUSG00000049643","RIKEN cDNA 2310022A10 gene [Source:MGI Symbol;Acc:MGI:1913617]"
"1745","INKA1","ENSG00000185614","1745.1.1","Inka1","ENSMUSG00000042106","inka box actin regulator 1 [Source:MGI Symbol;Acc:MGI:1915426]"
"1746","ANKRD44","ENSG00000065413","1746.1.1","Ankrd44","ENSMUSG00000052331","ankyrin repeat domain 44 [Source:MGI Symbol;Acc:MGI:3045243]"
"1747","ABL2","ENSG00000143322","1747.1.1","Abl2","ENSMUSG00000026596","ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:87860]"
"1748","MTMR12","ENSG00000150712","1748.1.1","Mtmr12","ENSMUSG00000039458","myotubularin related protein 12 [Source:MGI Symbol;Acc:MGI:2443034]"
"1749","GSR","ENSG00000104687","1749.1.1","Gsr","ENSMUSG00000031584","glutathione reductase [Source:MGI Symbol;Acc:MGI:95804]"
"1750","DPYSL2","ENSG00000092964","1750.1.1","Dpysl2","ENSMUSG00000022048","dihydropyrimidinase-like 2 [Source:MGI Symbol;Acc:MGI:1349763]"
"1751","AMZ2","ENSG00000196704","1751.1.1","Amz2","ENSMUSG00000020610","archaelysin family metallopeptidase 2 [Source:MGI Symbol;Acc:MGI:104837]"
"1752","ACAA2","ENSG00000167315","1752.1.1","Acaa2","ENSMUSG00000036880","acetyl-CoA acyltransferase 2 [Source:MGI Symbol;Acc:MGI:1098623]"
"1753","RNF168","ENSG00000163961","1753.1.1","Rnf168","ENSMUSG00000014074","ring finger protein 168 [Source:MGI Symbol;Acc:MGI:1917488]"
"1754","CD276","ENSG00000103855","1754.1.1","Cd276","ENSMUSG00000035914","CD276 antigen [Source:MGI Symbol;Acc:MGI:2183926]"
"1755","TSC22D4","ENSG00000166925","1755.1.1","Tsc22d4","ENSMUSG00000029723","Tsc22 domain family, member 4 [Source:MGI Symbol;Acc:MGI:1926079]"
"1756","RAB3GAP2","ENSG00000118873","1756.1.1","Rab3gap2","ENSMUSG00000039318","RAB3 GTPase activating protein subunit 2 [Source:MGI Symbol;Acc:MGI:1916043]"
"1757","LRRC8D","ENSG00000171492","1757.1.1","Lrrc8d","ENSMUSG00000046079","leucine rich repeat containing 8D [Source:MGI Symbol;Acc:MGI:1922368]"
"1758","YIF1A","ENSG00000174851","1758.1.1","Yif1a","ENSMUSG00000024875","Yip1 interacting factor homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915340]"
"1759","CFL1","ENSG00000172757","1759.1.1","Cfl1","ENSMUSG00000056201","cofilin 1, non-muscle [Source:MGI Symbol;Acc:MGI:101757]"
"1760","EFCAB2","ENSG00000203666","1760.1.1","Efcab2","ENSMUSG00000026495","EF-hand calcium binding domain 2 [Source:MGI Symbol;Acc:MGI:1915476]"
"1761","FHAD1","ENSG00000142621","1761.1.1","Fhad1","ENSMUSG00000051435","forkhead-associated phosphopeptide binding domain 1 [Source:MGI Symbol;Acc:MGI:1920323]"
"1762","CCDC97","ENSG00000142039","1762.1.1","Ccdc97","ENSMUSG00000002608","coiled-coil domain containing 97 [Source:MGI Symbol;Acc:MGI:1196455]"
"1763","KHDRBS1","ENSG00000121774","1763.1.1","Khdrbs1","ENSMUSG00000028790","KH domain containing, RNA binding, signal transduction associated 1 [Source:MGI Symbol;Acc:MGI:893579]"
"1764","SP2","ENSG00000167182","1764.1.1","Sp2","ENSMUSG00000018678","Sp2 transcription factor [Source:MGI Symbol;Acc:MGI:1926162]"
"1765","OXR1","ENSG00000164830","1765.1.1","Oxr1","ENSMUSG00000022307","oxidation resistance 1 [Source:MGI Symbol;Acc:MGI:2179326]"
"1766","MFAP3L","ENSG00000198948","1766.1.1","Mfap3l","ENSMUSG00000031647","microfibrillar-associated protein 3-like [Source:MGI Symbol;Acc:MGI:1918556]"
"1767","ILRUN","ENSG00000196821","1767.1.1","Ilrun","ENSMUSG00000056692","inflammation and lipid regulator with UBA-like and NBR1-like domains [Source:MGI Symbol;Acc:MGI:106281]"
"1768","TMEM131L","ENSG00000121210","1768.1.1","Tmem131l","ENSMUSG00000033767","transmembrane 131 like [Source:MGI Symbol;Acc:MGI:2443399]"
"1769","DOCK7","ENSG00000116641","1769.1.1","Dock7","ENSMUSG00000028556","dedicator of cytokinesis 7 [Source:MGI Symbol;Acc:MGI:1914549]"
"1770","ITSN1","ENSG00000205726","1770.1.1","Itsn1","ENSMUSG00000022957","intersectin 1 (SH3 domain protein 1A) [Source:MGI Symbol;Acc:MGI:1338069]"
"1771","PIP4K2A","ENSG00000150867","1771.1.1","Pip4k2a","ENSMUSG00000026737","phosphatidylinositol-5-phosphate 4-kinase, type II, alpha [Source:MGI Symbol;Acc:MGI:1298206]"
"1772","CNOT6L","ENSG00000138767","1772.1.1","Cnot6l","ENSMUSG00000034724","CCR4-NOT transcription complex, subunit 6-like [Source:MGI Symbol;Acc:MGI:2443154]"
"1773","BACH2","ENSG00000112182","1773.1.1","Bach2","ENSMUSG00000040270","BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]"
"1774","TSPAN14","ENSG00000108219","1774.1.1","Tspan14","ENSMUSG00000037824","tetraspanin 14 [Source:MGI Symbol;Acc:MGI:1196325]"
"1775","ZC3H7A","ENSG00000122299","1775.1.1","Zc3h7a","ENSMUSG00000037965","zinc finger CCCH type containing 7 A [Source:MGI Symbol;Acc:MGI:2445044]"
"1776","FARS2","ENSG00000145982","1776.1.1","Fars2","ENSMUSG00000021420","phenylalanine-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1917205]"
"1777","RIPK2","ENSG00000104312","1777.1.1","Ripk2","ENSMUSG00000041135","receptor (TNFRSF)-interacting serine-threonine kinase 2 [Source:MGI Symbol;Acc:MGI:1891456]"
"1778","CD164","ENSG00000135535","1778.1.1","Cd164","ENSMUSG00000019818","CD164 antigen [Source:MGI Symbol;Acc:MGI:1859568]"
"1779","PHF12","ENSG00000109118","1779.1.1","Phf12","ENSMUSG00000037791","PHD finger protein 12 [Source:MGI Symbol;Acc:MGI:1924057]"
"1780","HIRA","ENSG00000100084","1780.1.1","Hira","ENSMUSG00000022702","histone cell cycle regulator [Source:MGI Symbol;Acc:MGI:99430]"
"1781","SLC11A1","ENSG00000018280","1781.1.1","Slc11a1","ENSMUSG00000026177","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1 [Source:MGI Symbol;Acc:MGI:1345275]"
"1782","HTR2A","ENSG00000102468","1782.1.1","Htr2a","ENSMUSG00000034997","5-hydroxytryptamine (serotonin) receptor 2A [Source:MGI Symbol;Acc:MGI:109521]"
"1783","ATP7A","ENSG00000165240","1783.1.1","Atp7a","ENSMUSG00000033792","ATPase, Cu++ transporting, alpha polypeptide [Source:MGI Symbol;Acc:MGI:99400]"
"1784","CPT1A","ENSG00000110090","1784.1.1","Cpt1a","ENSMUSG00000024900","carnitine palmitoyltransferase 1a, liver [Source:MGI Symbol;Acc:MGI:1098296]"
"1785","RSAD1","ENSG00000136444","1785.1.1","Rsad1","ENSMUSG00000039096","radical S-adenosyl methionine domain containing 1 [Source:MGI Symbol;Acc:MGI:3039628]"
"1786","LRCH1","ENSG00000136141","1786.1.1","Lrch1","ENSMUSG00000068015","leucine-rich repeats and calponin homology (CH) domain containing 1 [Source:MGI Symbol;Acc:MGI:2443390]"
"1787","TASOR","ENSG00000163946","1787.1.1","Tasor","ENSMUSG00000040651","transcription activation suppressor [Source:MGI Symbol;Acc:MGI:1921694]"
"1788","OXSM","ENSG00000151093","1788.1.1","Oxsm","ENSMUSG00000021786","3-oxoacyl-ACP synthase, mitochondrial [Source:MGI Symbol;Acc:MGI:1918397]"
"1789","CLPX","ENSG00000166855","1789.1.1","Clpx","ENSMUSG00000015357","caseinolytic mitochondrial matrix peptidase chaperone subunit [Source:MGI Symbol;Acc:MGI:1346017]"
"1790","TSPAN3","ENSG00000140391","1790.1.1","Tspan3","ENSMUSG00000032324","tetraspanin 3 [Source:MGI Symbol;Acc:MGI:1928098]"
"1791","FEM1C","ENSG00000145780","1791.1.1","Fem1c","ENSMUSG00000033319","fem 1 homolog c [Source:MGI Symbol;Acc:MGI:2444737]"
"1792","CHMP3","ENSG00000115561","1792.1.1","Chmp3","ENSMUSG00000053119","charged multivesicular body protein 3 [Source:MGI Symbol;Acc:MGI:1913950]"
"1793","CBX4","ENSG00000141582","1793.1.1","Cbx4","ENSMUSG00000039989","chromobox 4 [Source:MGI Symbol;Acc:MGI:1195985]"
"1794","ZNF142","ENSG00000115568","1794.1.1","Zfp142","ENSMUSG00000026135","zinc finger protein 142 [Source:MGI Symbol;Acc:MGI:1924514]"
"1795","PEA15","ENSG00000162734","1795.1.1","Pea15a","ENSMUSG00000013698","proliferation and apoptosis adaptor protein 15A [Source:MGI Symbol;Acc:MGI:104799]"
"1796","DNASE1L1","ENSG00000013563","1796.1.1","Dnase1l1","ENSMUSG00000019088","deoxyribonuclease 1-like 1 [Source:MGI Symbol;Acc:MGI:109628]"
"1797","RAD23A","ENSG00000179262","1797.1.1","Rad23a","ENSMUSG00000003813","RAD23 homolog A, nucleotide excision repair protein [Source:MGI Symbol;Acc:MGI:105126]"
"1798","MKRN1","ENSG00000133606","1798.1.1","Mkrn1","ENSMUSG00000029922","makorin, ring finger protein, 1 [Source:MGI Symbol;Acc:MGI:1859353]"
"1799","SASH1","ENSG00000111961","1799.1.1","Sash1","ENSMUSG00000015305","SAM and SH3 domain containing 1 [Source:MGI Symbol;Acc:MGI:1917347]"
"1800","NLK","ENSG00000087095","1800.1.1","Nlk","ENSMUSG00000017376","nemo like kinase [Source:MGI Symbol;Acc:MGI:1201387]"
"1801","NAAA","ENSG00000138744","1801.1.1","Naaa","ENSMUSG00000029413","N-acylethanolamine acid amidase [Source:MGI Symbol;Acc:MGI:1914361]"
"1802","ID2","ENSG00000115738","1802.1.1","Id2","ENSMUSG00000020644","inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]"
"1803","CEMIP2","ENSG00000135048","1803.1.1","Cemip2","ENSMUSG00000024754","cell migration inducing hyaluronidase 2 [Source:MGI Symbol;Acc:MGI:1890373]"
"1804","CDKN2AIP","ENSG00000168564","1804.1.1","Cdkn2aip","ENSMUSG00000038069","CDKN2A interacting protein [Source:MGI Symbol;Acc:MGI:1918175]"
"1805","PREB","ENSG00000138073","1805.1.1","Preb","ENSMUSG00000045302","prolactin regulatory element binding [Source:MGI Symbol;Acc:MGI:1355326]"
"1806","POR","ENSG00000127948","1806.1.1","Por","ENSMUSG00000005514","cytochrome p450 oxidoreductase [Source:MGI Symbol;Acc:MGI:97744]"
"1807","IGFBP4","ENSG00000141753","1807.1.1","Igfbp4","ENSMUSG00000017493","insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]"
"1808","ALCAM","ENSG00000170017","1808.1.1","Alcam","ENSMUSG00000022636","activated leukocyte cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1313266]"
"1809","DYNLL1","ENSG00000088986","1809.1.1","Dynll1","ENSMUSG00000009013","dynein light chain LC8-type 1 [Source:MGI Symbol;Acc:MGI:1861457]"
"1809","DYNLL1","ENSG00000088986","1809.1.2","BC048507","ENSMUSG00000064063","cDNA sequence BC048507 [Source:MGI Symbol;Acc:MGI:3040680]"
"1810","NFKBID","ENSG00000167604","1810.1.1","Nfkbid","ENSMUSG00000036931","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta [Source:MGI Symbol;Acc:MGI:3041243]"
"1811","CCL23","ENSG00000274736","1811.1.1","Ccl6","ENSMUSG00000018927","C-C motif chemokine ligand 6 [Source:MGI Symbol;Acc:MGI:98263]"
"1811","CCL23","ENSG00000274736","1811.1.2","Ccl9","ENSMUSG00000019122","C-C motif chemokine ligand 9 [Source:MGI Symbol;Acc:MGI:104533]"
"1812","DDHD1","ENSG00000100523","1812.1.1","Ddhd1","ENSMUSG00000037697","DDHD domain containing 1 [Source:MGI Symbol;Acc:MGI:2150302]"
"1813","CDK12","ENSG00000167258","1813.1.1","Cdk12","ENSMUSG00000003119","cyclin dependent kinase 12 [Source:MGI Symbol;Acc:MGI:1098802]"
"1814","DSTYK","ENSG00000133059","1814.1.1","Dstyk","ENSMUSG00000042046","dual serine/threonine and tyrosine protein kinase [Source:MGI Symbol;Acc:MGI:1925064]"
"1815","TYSND1","ENSG00000156521","1815.1.1","Tysnd1","ENSMUSG00000020087","trypsin domain containing 1 [Source:MGI Symbol;Acc:MGI:1919017]"
"1816","NT5M","ENSG00000205309","1816.1.1","Nt5m","ENSMUSG00000032615","5',3'-nucleotidase, mitochondrial [Source:MGI Symbol;Acc:MGI:1917127]"
